Categoria,Producto_ID,Producto_Nombre,Sucursal,Fecha,Ventas,Unidades,Precio
Ropa,202,Camisa,Oeste,2024-01-09,1197,86,13.92
Ropa,202,Camisa,Oeste,2024-01-10,2930,16,183.12
Alimentos,203,Manzanas,Oeste,2024-01-01,9800,73,134.25
Alimentos,203,Manzanas,Oeste,2024-01-02,5282,70,75.46
Alimentos,203,Manzanas,Oeste,2024-01-03,3511,93,37.75
Alimentos,203,Manzanas,Oeste,2024-01-04,1659,59,28.12
Alimentos,203,Manzanas,Oeste,2024-01-05,7546,90,83.84
Alimentos,203,Manzanas,Oeste,2024-01-06,2986,19,157.16
Alimentos,203,Manzanas,Oeste,2024-01-07,3911,71,55.08
Alimentos,203,Manzanas,Oeste,2024-01-08,2843,33,86.15
Alimentos,203,Manzanas,Oeste,2024-01-09,2959,39,75.87
Alimentos,203,Manzanas,Oeste,2024-01-10,3385,1,3385.0
